Date,Close,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY
2015-01-02,170.12503051757812,171.32584529520108,169.08985407923498,170.9117747198638,121465900
2015-01-05,167.0526123046875,169.24718101537695,166.74620416225187,169.08155533396388,169632600
2015-01-06,165.4791259765625,167.8807296085199,164.68410512720072,167.3589967812379,209151400
2015-01-07,167.5412139892578,167.88075485287703,166.3569783519322,166.80416895939857,125346700
2015-01-08,170.5142059326172,170.72953065352303,168.93246642029644,168.94902014003745,147217800
2015-01-09,169.1478271484375,170.94489189846533,168.53499815824603,170.92832553753288,158567300
2015-01-12,167.8227996826172,169.43768504089866,167.21826017883348,169.28033619992303,144396100
2015-01-13,167.3507080078125,170.16638190252374,166.05052078045333,169.04010981735388,214553300
2015-01-14,166.34042358398438,166.53918199916947,164.44398600526128,165.33836728251805,192991100
2015-01-15,164.816650390625,167.29278426938683,164.70071113847325,166.97809923436395,176613900
2015-01-16,166.97805786132812,167.1354066580678,164.42738230955322,164.60957432299625,211879600
2015-01-20,167.3341827392578,167.88075887871344,165.76899662094755,167.61574767057863,130991100
2015-01-21,168.17886352539062,168.65918678671582,166.4066424201559,166.87039932448977,122942700
2015-01-22,170.67984008789062,170.8123330247463,167.55774543821306,168.93246232905992,174356000
2015-01-23,169.74404907226562,170.67985237585975,169.61154348944333,170.42311807048108,117516800
2015-01-26,170.1415252685547,170.23262126224506,168.81650756701595,169.52870916229736,92009700
2015-01-27,167.8972625732422,169.04008823159913,167.06912181155664,168.08773141023082,134044600
2015-01-28,165.7441864013672,169.1809674748212,165.55371745536436,169.0815945701993,168514300
2015-01-29,167.27626037597656,167.53298214892092,164.53510214620917,165.94295242024324,173585400
2015-01-30,165.1727294921875,167.42527415360559,164.9077309277775,166.10025605869643,197729700
2015-02-02,167.21824645996094,167.30934248481887,163.85599567481714,165.66962667380608,163107000
2015-02-03,169.63645935058594,169.64474885082961,167.74002135048272,168.11268240488175,124212900
2015-02-04,168.9904327392578,170.0835848102543,168.53495270967596,168.87449351685765,134306700
2015-02-05,170.69644165039062,170.84551362122258,169.57845873308844,169.65298840028913,97953200
2015-02-06,170.224365234375,171.62392538305807,169.70263242153572,171.0607829977601,125672000
2015-02-09,169.46249389648438,170.29891174267553,169.0567002644991,169.57843312899038,87219000
2015-02-10,171.26788330078125,171.52460505657413,169.50393846249426,170.49771803340263,96164200
2015-02-11,171.36721801757812,171.79785489325087,170.45627046247458,171.10221945776905,91087800
2015-02-12,173.01519775390625,173.07317368320975,171.40032550339623,172.16221362577974,97545900
2015-02-13,173.72744750976562,173.7771339563857,172.88274000793118,173.1394743761866,93670400
2015-02-17,174.00070190429688,174.1746170702164,173.1642840631735,173.41271624816068,76968200
2015-02-18,174.01722717285156,174.09175681074964,173.36298887638918,173.62799999303866,80652900
2015-02-19,173.89308166503906,174.25746580654345,173.28026527835587,173.42104776276773,91462500
2015-02-20,174.93650817871094,175.01103783545233,172.8578661957788,173.47897194148132,140896400
2015-02-23,174.91172790527344,174.91172790527344,174.30717566366744,174.68812621815295,74411100
2015-02-24,175.4085235595703,175.6072819264432,174.53897307958917,174.83710431168478,72472300
2015-02-25,175.25949096679688,175.76465750269924,174.919950110312,175.28433418688803,73061700
2015-02-26,175.05247497558594,175.32576306309747,174.44792285634952,175.16841422758196,72697900
2015-02-27,174.4561767578125,175.21806492067336,174.4064903222998,174.95305374936794,108076000
2015-03-02,175.5576171875,175.6155804872333,174.50587456702831,174.55556100577942,87491400
2015-03-03,174.83709716796875,175.60727475125827,173.97583621956494,175.12695152826169,110325800
2015-03-04,174.10006713867188,174.3153918714502,173.1311437504533,174.2408495827965,114497200
2015-03-05,174.29055786132812,174.57212276445165,173.78539135328714,174.4230508156971,76873000
2015-03-06,171.83926391601562,173.85993005329047,171.50801255821912,173.42929317901158,188128000
2015-03-09,172.55145263671875,172.90754718755318,171.88066047431653,172.03800928010043,89818900
2015-03-10,169.75238037109375,171.26788029001222,169.71097078362848,171.18507375151364,157121300
2015-03-11,169.3547821044922,170.18292284827945,169.2719629755435,170.00900773205714,110145700
2015-03-12,171.50802612304688,171.5742662907018,169.9345504579917,169.984236901948,93993500
2015-03-13,170.45623779296875,172.19532604836107,169.42106169936847,171.23469223718448,162410900
2015-03-16,172.73365783691406,172.82475385582055,170.48111322070739,171.18503815193296,136099200
2015-03-17,172.22021484375,172.60115264266457,171.4086275328932,171.99661322656053,94510400
2015-03-18,174.29055786132812,174.96135003965182,171.11048686432775,171.74815896316636,228808500
2015-03-19,173.49554443359375,174.29884223735098,173.1063171416112,173.8764948644553,117917300
2015-03-20,175.02696228027344,175.5343837524502,174.26167316848532,174.4446784661776,177715100
2015-03-23,174.6859130859375,175.60925341996233,174.6859130859375,175.0352833889691,71784500
2015-03-24,173.70436096191406,175.01865340630465,173.63781242033892,174.56115280883478,77805300
